               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.032497,           0.0066835,                   0,             0.89899,             0.72807,             0.77814,             0.32421,            0.047648,           0.0080193,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.033988,           0.0065565,                   0,             0.92302,             0.73684,             0.80191,             0.36048,            0.044925,           0.0076249,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.032082,           0.0070849,                   0,             0.84616,             0.70175,             0.76304,             0.33987,            0.046555,            0.007864,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.032153,           0.0066958,                   0,             0.91202,             0.71053,             0.79212,             0.33828,             0.04611,           0.0079833,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.031228,           0.0067284,                   0,             0.91109,             0.70175,             0.79328,              0.3169,            0.045839,           0.0081127,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.030656,           0.0068324,                   0,             0.86721,             0.74561,             0.80649,             0.34523,             0.04423,           0.0081791,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.031787,           0.0063204,                   0,             0.86576,             0.73548,             0.81893,             0.34244,            0.046577,           0.0080796,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.031671,           0.0067193,                   0,             0.89156,             0.69298,             0.77413,             0.32653,            0.045067,           0.0077111,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.031543,           0.0065265,                   0,             0.91205,             0.72775,              0.8111,             0.34703,            0.044551,           0.0078444,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.029289,           0.0065876,                   0,             0.85488,             0.77514,             0.82383,             0.35237,            0.043801,           0.0075858,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.028557,           0.0063932,                   0,              0.8325,             0.78477,             0.82215,             0.36285,             0.04367,           0.0076898,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.031023,           0.0063048,                   0,              0.8676,             0.75439,             0.80779,             0.35388,            0.044492,           0.0076567,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.028412,           0.0059489,                   0,             0.88998,             0.70957,              0.7794,             0.34187,            0.047109,            0.007679,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.029014,           0.0062365,                   0,             0.90793,             0.69201,              0.7961,             0.35574,            0.046248,           0.0075497,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.029884,           0.0064571,                   0,              0.8617,             0.70175,             0.77788,              0.2928,            0.047444,           0.0075688,                   0,            0.006634,            0.006634,            0.006634
                  53,             0.02714,           0.0061613,                   0,             0.90499,             0.69298,             0.81232,             0.32665,            0.046515,           0.0077909,                   0,            0.006568,            0.006568,            0.006568
                  54,             0.02908,           0.0059671,                   0,             0.90141,             0.72182,             0.80782,             0.32407,            0.046214,            0.007546,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.028773,           0.0062927,                   0,             0.92152,             0.72807,             0.82436,             0.33019,            0.044652,           0.0073024,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.027374,           0.0065416,                   0,             0.82282,               0.774,             0.81691,             0.33573,            0.046164,             0.00749,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.029211,           0.0060166,                   0,             0.85406,              0.7807,             0.82912,             0.32918,            0.047462,           0.0077121,                   0,            0.006304,            0.006304,            0.006304
                  58,             0.02815,           0.0060998,                   0,             0.89514,             0.74885,             0.82283,             0.36156,            0.045222,           0.0077175,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.027689,           0.0058825,                   0,             0.83847,             0.76316,             0.80669,             0.31748,            0.046062,           0.0078186,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.026923,           0.0064252,                   0,             0.89819,             0.76316,             0.79165,             0.29981,            0.046993,           0.0078997,                   0,            0.006106,            0.006106,            0.006106
                  61,             0.02805,           0.0060383,                   0,              0.9231,              0.7371,             0.83162,             0.38312,            0.040324,           0.0075805,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.026136,           0.0059303,                   0,             0.92505,             0.75792,             0.82684,             0.33331,            0.042538,           0.0075984,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.026423,           0.0058742,                   0,             0.95617,             0.76545,             0.83628,             0.37528,            0.042016,            0.007657,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.026859,           0.0061693,                   0,             0.95601,             0.76262,             0.82513,             0.38121,            0.042434,           0.0078629,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.025039,           0.0055479,                   0,             0.93449,              0.7193,              0.8012,             0.35688,            0.044097,           0.0077963,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.025925,           0.0058163,                   0,             0.90046,             0.74561,             0.80361,             0.35849,            0.044205,           0.0077487,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.026085,           0.0057644,                   0,             0.94032,             0.74561,             0.81488,             0.36049,            0.043317,           0.0078338,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.026286,           0.0059532,                   0,             0.90281,             0.77193,             0.81654,             0.36387,            0.045471,           0.0078895,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.025249,           0.0055446,                   0,              0.9205,             0.76316,             0.81656,             0.34942,            0.046584,           0.0077744,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.025348,           0.0059323,                   0,             0.91494,             0.78947,             0.83553,             0.37231,            0.043539,           0.0077934,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.024543,             0.00602,                   0,             0.97652,             0.72957,              0.8394,             0.37928,            0.043441,           0.0076818,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.024929,           0.0058607,                   0,             0.95495,              0.7193,             0.83681,              0.3829,            0.043451,            0.007773,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.025249,           0.0060005,                   0,             0.90639,             0.76443,             0.82664,             0.35719,            0.046025,           0.0077477,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.025369,           0.0058291,                   0,             0.89939,             0.78947,             0.84989,             0.38821,            0.042623,            0.007588,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.024223,           0.0057677,                   0,             0.88112,             0.78016,             0.82643,             0.36784,             0.04464,            0.007736,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.025373,           0.0055952,                   0,             0.90568,             0.75809,               0.829,             0.35187,            0.042871,           0.0077198,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.023426,           0.0054485,                   0,             0.91147,             0.74561,             0.83442,             0.38896,            0.044124,           0.0077232,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.024977,           0.0055999,                   0,             0.90498,             0.75192,              0.8333,              0.3736,            0.042055,           0.0076242,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.022454,             0.00534,                   0,             0.88995,             0.77193,              0.8102,             0.36778,            0.040474,            0.007634,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.022725,             0.00552,                   0,             0.91722,             0.74561,             0.82761,              0.3349,            0.042763,           0.0075145,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.025158,           0.0055822,                   0,             0.90539,             0.77193,             0.84541,             0.35866,            0.042067,            0.007508,                   0,             0.00472,             0.00472,             0.00472
                  82,             0.02277,           0.0057804,                   0,             0.92438,              0.7193,             0.84033,               0.376,            0.041934,           0.0076377,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.022558,           0.0057141,                   0,             0.82734,             0.80702,              0.8587,             0.36443,            0.042142,           0.0077757,                   0,            0.004588,            0.004588,            0.004588
                  84,             0.02286,           0.0056391,                   0,              0.9269,             0.73684,             0.85308,             0.38496,             0.04171,           0.0075923,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.022282,           0.0053947,                   0,              0.9495,             0.73684,             0.85108,             0.38228,            0.041919,           0.0074028,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.021631,           0.0054408,                   0,             0.92398,             0.72807,             0.82655,             0.38395,             0.04182,           0.0076558,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.022829,           0.0054866,                   0,             0.88563,             0.75439,             0.83841,             0.37776,            0.042789,           0.0077782,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.022105,           0.0055817,                   0,             0.89932,             0.74561,             0.83731,             0.38535,            0.042453,           0.0077707,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.022403,            0.005183,                   0,             0.90408,             0.73684,             0.82689,             0.38503,            0.043254,             0.00781,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.021476,           0.0052202,                   0,             0.91042,             0.71053,             0.81151,             0.36292,            0.044079,           0.0079434,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.021986,           0.0054899,                   0,             0.94217,             0.74561,             0.82869,               0.386,            0.043465,            0.007882,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.021944,           0.0053228,                   0,             0.88628,             0.77193,             0.81487,             0.37973,            0.042232,           0.0077951,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.022059,           0.0051183,                   0,             0.88745,             0.78947,             0.82988,             0.37623,            0.042652,           0.0077543,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.021793,           0.0054827,                   0,             0.90427,             0.78947,              0.8335,             0.37079,            0.042576,           0.0078079,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.021056,           0.0049671,                   0,              0.8834,             0.75439,             0.80575,             0.36026,            0.042579,           0.0079185,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.020487,           0.0052043,                   0,              0.9045,             0.74772,             0.81578,             0.36893,            0.042927,           0.0078397,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.021507,           0.0052311,                   0,             0.89795,             0.75439,             0.81318,              0.3275,            0.044338,           0.0078161,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.021606,            0.005186,                   0,             0.91456,             0.76316,             0.82511,             0.36963,            0.043453,           0.0076238,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.020848,           0.0052231,                   0,             0.92276,             0.75439,             0.81665,             0.36636,            0.043498,           0.0076958,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.020253,           0.0049879,                   0,             0.94431,             0.74366,             0.82786,             0.37626,            0.042842,           0.0076498,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.020177,           0.0052993,                   0,             0.92528,              0.7807,             0.84076,             0.40446,            0.041399,           0.0074834,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.020167,           0.0050458,                   0,             0.91637,             0.76899,              0.8376,             0.39917,            0.041633,            0.007624,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.020548,           0.0052901,                   0,             0.91469,             0.75242,             0.82958,             0.40008,            0.042509,           0.0077275,                   0,            0.003268,            0.003268,            0.003268
